iter	Passed	Remaining
0	135	135388
1	136	67962
2	136	45436
3	137	34171
4	137	27414
5	138	22897
6	138	19674
7	139	17297
8	140	15420
9	140	13917
10	141	12688
11	141	11666
12	142	10797
13	142	10069
14	143	9427
15	144	8858
16	144	8364
17	145	7923
18	145	7532
19	146	7178
20	146	6850
21	147	6552
22	147	6279
23	148	6029
24	148	5797
25	149	5583
26	149	5388
27	149	5205
28	150	5042
29	152	4921
30	153	4785
31	153	4652
32	154	4526
33	154	4402
34	155	4285
35	155	4175
36	156	4073
37	156	3973
38	157	3878
39	157	3787
40	158	3701
41	158	3619
42	159	3540
43	159	3466
44	160	3396
45	160	3327
46	161	3268
47	161	3206
48	162	3146
49	162	3088
50	162	3032
51	163	2980
52	163	2928
53	164	2877
54	164	2829
55	165	2782
56	165	2736
57	165	2692
58	166	2650
59	166	2609
60	166	2569
61	167	2531
62	167	2494
63	168	2460
64	168	2426
65	169	2393
66	169	2361
67	169	2329
68	170	2299
69	170	2269
70	171	2240
71	171	2211
72	171	2183
73	172	2156
74	172	2129
75	173	2104
76	173	2079
77	174	2062
78	174	2039
79	175	2016
80	175	1995
81	176	1974
82	176	1951
83	177	1931
84	177	1912
85	178	1892
86	178	1872
87	178	1853
88	179	1834
89	179	1815
90	179	1797
91	180	1779
92	180	1762
93	181	1745
94	181	1728
95	181	1712
96	182	1696
97	182	1680
98	183	1666
99	183	1653
100	184	1638
101	184	1624
102	185	1611
103	185	1598
104	185	1584
105	186	1571
106	186	1557
107	187	1544
108	187	1532
109	187	1519
110	188	1507
111	188	1495
112	189	1485
113	189	1474
114	190	1463
115	190	1454
116	191	1442
117	191	1432
118	192	1422
119	192	1411
120	192	1401
121	193	1390
122	193	1380
123	193	1370
124	194	1360
125	194	1350
126	195	1340
127	195	1331
128	195	1322
129	196	1312
130	196	1303
131	196	1294
132	197	1286
133	197	1277
134	198	1269
135	198	1261
136	199	1253
137	199	1246
138	199	1238
139	200	1230
140	200	1222
141	200	1213
142	201	1206
143	201	1198
144	202	1191
145	202	1184
146	202	1176
147	203	1169
148	203	1162
149	203	1155
150	204	1148
151	204	1142
152	205	1135
153	205	1129
154	206	1123
155	206	1117
156	206	1111
157	207	1104
158	207	1098
159	208	1092
160	208	1085
161	208	1079
162	209	1073
163	209	1067
164	209	1061
165	210	1055
166	210	1050
167	210	1044
168	211	1039
169	211	1033
170	212	1028
171	212	1022
172	212	1017
173	213	1012
174	213	1007
175	214	1002
176	214	997
177	214	992
178	215	987
179	215	982
180	216	977
181	216	973
182	216	968
183	217	963
184	217	958
185	218	954
186	218	949
187	218	944
188	219	940
189	219	935
190	219	931
191	220	926
192	220	923
193	221	919
194	221	915
195	222	910
196	222	906
197	222	902
198	223	898
199	223	894
200	223	890
201	224	886
202	224	882
203	225	878
204	225	874
205	225	870
206	226	866
207	226	862
208	226	858
209	227	855
210	227	851
211	228	848
212	228	844
213	229	841
214	229	838
215	229	834
216	230	831
217	230	828
218	231	824
219	231	821
220	232	818
221	232	814
222	232	811
223	233	807
224	233	804
225	233	801
226	234	798
227	234	794
228	235	791
229	235	788
230	236	785
231	236	782
232	236	779
233	237	776
234	237	773
235	237	770
236	238	767
237	238	764
238	239	761
239	239	758
240	239	755
241	240	752
242	240	749
243	240	746
244	241	743
245	241	740
246	242	738
247	242	735
248	242	732
249	243	730
250	243	727
251	244	724
252	244	722
253	245	719
254	245	717
255	245	714
256	246	711
257	246	709
258	246	706
259	247	704
260	247	701
261	248	698
262	248	696
263	248	693
264	249	691
265	249	688
266	250	686
267	250	683
268	250	681
269	251	679
270	251	677
271	252	674
272	252	672
273	252	670
274	253	667
275	253	665
276	254	663
277	254	660
278	254	658
279	255	656
280	255	653
281	255	651
282	256	649
283	256	647
284	257	644
285	257	642
286	257	640
287	258	638
288	258	636
289	259	634
290	259	632
291	260	630
292	260	628
293	261	627
294	261	625
295	262	623
296	262	621
297	262	619
298	263	617
299	263	615
300	264	613
301	264	611
302	264	609
303	265	607
304	265	605
305	266	604
306	266	602
307	267	600
308	267	598
309	268	596
310	268	594
311	268	592
312	269	591
313	269	589
314	270	587
315	270	585
316	270	583
317	271	581
318	271	579
319	271	577
320	272	575
321	272	574
322	273	572
323	273	571
324	274	569
325	274	567
326	275	566
327	275	564
328	275	562
329	276	560
330	276	559
331	276	557
332	277	555
333	277	553
334	278	552
335	278	550
336	278	548
337	279	546
338	279	545
339	280	543
340	280	541
341	280	540
342	281	538
343	281	537
344	282	535
345	282	533
346	282	532
347	283	530
348	283	529
349	284	527
350	284	525
351	284	524
352	285	522
353	285	521
354	286	519
355	286	518
356	286	516
357	287	514
358	287	513
359	288	512
360	288	510
361	289	509
362	289	507
363	289	506
364	290	504
365	290	503
366	290	501
367	291	500
368	291	498
369	292	497
370	292	495
371	292	494
372	293	493
373	293	491
374	294	490
375	294	488
376	294	487
377	295	485
378	295	484
379	296	483
380	296	481
381	297	480
382	297	479
383	297	477
384	298	476
385	298	474
386	298	473
387	299	472
388	299	470
389	300	469
390	300	467
391	300	466
392	301	465
393	301	463
394	301	462
395	302	461
396	302	459
397	303	458
398	303	457
399	304	456
400	304	454
401	304	453
402	305	452
403	305	450
404	305	449
405	306	448
406	306	446
407	307	445
408	307	444
409	307	442
410	308	441
411	308	440
412	308	439
413	309	437
414	309	436
415	310	435
416	310	434
417	311	433
418	311	431
419	311	430
420	312	429
421	312	428
422	313	427
423	313	425
424	313	424
425	314	423
426	314	422
427	315	421
428	315	419
429	315	418
430	316	417
431	316	416
432	316	415
433	317	413
434	317	412
435	318	411
436	318	410
437	319	409
438	319	408
439	319	407
440	320	405
441	320	404
442	321	403
443	321	402
444	321	401
445	322	400
446	322	399
447	323	398
448	323	396
449	323	395
450	324	394
451	324	393
452	325	392
453	325	391
454	326	390
455	326	389
456	327	388
457	327	387
458	327	386
459	328	385
460	328	384
461	329	383
462	329	382
463	329	381
464	330	380
465	330	379
466	331	378
467	331	377
468	332	376
469	332	375
470	333	374
471	333	373
472	334	372
473	334	371
474	335	370
475	335	369
476	335	368
477	336	367
478	336	366
479	337	365
480	337	364
481	338	363
482	338	362
483	338	361
484	339	360
485	339	359
486	340	358
487	340	357
488	341	356
489	341	355
490	342	354
491	342	353
492	342	352
493	343	351
494	343	350
495	344	349
496	344	348
497	344	347
498	345	346
499	345	345
500	346	344
501	346	343
502	347	342
503	347	341
504	347	340
505	348	340
506	349	339
507	349	338
508	349	337
509	350	336
510	350	335
511	351	334
512	351	333
513	351	332
514	352	331
515	352	330
516	352	329
517	353	328
518	353	327
519	354	326
520	354	326
521	355	325
522	355	324
523	356	323
524	356	322
525	356	321
526	357	320
527	357	319
528	358	318
529	358	318
530	359	317
531	359	316
532	360	315
533	360	314
534	361	313
535	361	312
536	361	312
537	362	311
538	362	310
539	363	309
540	363	308
541	364	307
542	364	306
543	364	305
544	365	305
545	365	304
546	366	303
547	366	302
548	366	301
549	367	300
550	367	299
551	368	298
552	368	297
553	368	297
554	369	296
555	369	295
556	370	294
557	370	293
558	371	292
559	371	291
560	372	291
561	372	290
562	372	289
563	373	288
564	373	287
565	374	287
566	374	286
567	375	285
568	375	284
569	375	283
570	376	282
571	376	281
572	377	280
573	377	280
574	377	279
575	378	278
576	378	277
577	379	276
578	379	275
579	379	275
580	380	274
581	380	273
582	381	272
583	381	272
584	382	271
585	382	270
586	383	269
587	383	268
588	383	267
589	384	267
590	384	266
591	385	265
592	385	264
593	385	263
594	386	263
595	386	262
596	387	261
597	387	260
598	388	259
599	388	259
600	389	258
601	389	257
602	390	256
603	390	256
604	390	255
605	391	254
606	391	253
607	392	252
608	392	251
609	392	251
610	393	250
611	393	249
612	394	248
613	394	248
614	395	247
615	395	246
616	395	245
617	396	244
618	396	244
619	397	243
620	397	242
621	397	241
622	398	241
623	398	240
624	399	239
625	399	238
626	399	237
627	400	237
628	400	236
629	401	235
630	401	234
631	402	234
632	402	233
633	403	232
634	403	231
635	403	231
636	404	230
637	404	229
638	405	228
639	405	228
640	405	227
641	406	226
642	406	225
643	406	224
644	407	224
645	407	223
646	408	222
647	408	221
648	409	221
649	409	220
650	409	219
651	410	218
652	410	218
653	410	217
654	411	216
655	411	215
656	412	215
657	412	214
658	412	213
659	413	212
660	413	212
661	413	211
662	414	210
663	414	209
664	415	209
665	415	208
666	416	207
667	416	207
668	416	206
669	417	205
670	417	204
671	418	204
672	418	203
673	418	202
674	419	201
675	419	201
676	420	200
677	420	199
678	420	198
679	421	198
680	421	197
681	422	196
682	422	196
683	423	195
684	423	194
685	424	194
686	424	193
687	425	192
688	425	192
689	425	191
690	426	190
691	426	189
692	427	189
693	427	188
694	427	187
695	428	187
696	428	186
697	428	185
698	429	184
699	429	184
700	430	183
701	430	182
702	431	182
703	432	181
704	432	180
705	432	180
706	433	179
707	433	178
708	433	178
709	434	177
710	434	176
711	435	176
712	435	175
713	436	174
714	436	173
715	436	173
716	437	172
717	437	171
718	438	171
719	438	170
720	439	169
721	439	169
722	439	168
723	440	167
724	440	167
725	441	166
726	441	165
727	441	165
728	442	164
729	442	163
730	442	162
731	443	162
732	443	161
733	443	160
734	444	160
735	444	159
736	445	158
737	445	158
738	446	157
739	446	157
740	447	156
741	447	155
742	448	154
743	448	154
744	448	153
745	449	152
746	449	152
747	449	151
748	450	150
749	450	150
750	451	149
751	451	148
752	451	148
753	452	147
754	452	146
755	452	146
756	453	145
757	453	144
758	454	144
759	454	143
760	455	142
761	455	142
762	455	141
763	456	140
764	456	140
765	457	139
766	457	138
767	457	138
768	458	137
769	458	136
770	458	136
771	459	135
772	459	135
773	460	134
774	460	133
775	460	133
776	461	132
777	461	131
778	462	131
779	462	130
780	462	129
781	463	129
782	463	128
783	464	127
784	464	127
785	464	126
786	465	125
787	465	125
788	466	124
789	466	124
790	466	123
791	467	122
792	467	122
793	468	121
794	468	120
795	469	120
796	469	119
797	469	118
798	470	118
799	470	117
800	471	117
801	471	116
802	471	115
803	472	115
804	472	114
805	472	113
806	473	113
807	473	112
808	474	111
809	474	111
810	475	110
811	475	110
812	475	109
813	476	108
814	476	108
815	477	107
816	477	106
817	477	106
818	478	105
819	478	105
820	478	104
821	479	103
822	479	103
823	480	102
824	480	101
825	480	101
826	481	100
827	481	100
828	481	99
829	482	98
830	482	98
831	483	97
832	483	96
833	483	96
834	484	95
835	484	95
836	485	94
837	485	93
838	485	93
839	486	92
840	486	92
841	487	91
842	487	90
843	488	90
844	488	89
845	489	89
846	489	88
847	489	87
